COD,PRODUCTO,CATEGORIA,PRECIOS MAYORISTAS,PRECIOS MINORISTAS,LINK
1,Reel Jimmy Blue FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000,https://www.casajapon.com/produto/molinete-jimmy-fd-c-linha-12895.html
2,Reel Jimmy Green FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000,https://www.casajapon.com/produto/molinete-jimmy-fd-c-linha-12895.html
3,Reel Jimmy Grey FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000,https://www.casajapon.com/produto/molinete-jimmy-fd-c-linha-12895.html
4,Reel Arena 2000 FD 1 Rol 5.1:1,Reel,12700,26700,https://www.mercadolibre.com.ar/reel-frontal-marine-sports-arena-blue-2000-fd-1r-501/up/MLAU3756674307#polycard_client=recommendations_vpp-v2p-pom&reco_backend=ranker_retrieval_system_vpp_v2p&reco_model=coldstart_low_exposition&reco_client=vpp-v2p-pom&reco_item_pos=0&reco_backend_type=low_level&reco_id=40c28299-3f81-4524-983c-28300c87276d&wid=MLA2815648894&sid=recos
5,Reel Arena Blue 2000 FD 1 Rol 5.1:1,Reel,12700,26700,https://www.mercadolibre.com.ar/reel-frontal-marine-sports-arena-blue-2000-fd-1r-501/up/MLAU3756674307#polycard_client=recommendations_vpp-v2p-pom&reco_backend=ranker_retrieval_system_vpp_v2p&reco_model=coldstart_low_exposition&reco_client=vpp-v2p-pom&reco_item_pos=0&reco_backend_type=low_level&reco_id=40c28299-3f81-4524-983c-28300c87276d&wid=MLA2815648894&sid=recos
6,Reel Elite Gold 1000 FD 3 Rol 5.1:1,Reel,17900,28000,https://www.mercadolibre.com.ar/reel-frontal-marine-sports-1000-3-rulemanes-arrastre-5-kg-negrodorado/p/MLA19874144#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=ed9f38bd-a685-41ef-860f-4a3ea0484c03&wid=MLA1495451397&sid=search
7,Reel Arena Red 2000 FD 1 Rol 5.1:1,Reel,12700,26700,https://www.mercadolibre.com.ar/reel-frontal-marine-sports-arena-red-2000-fd-1rol-511/up/MLAU3839122899#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=dab2d685-5080-4a68-a97d-ae394d166fab&wid=MLA1705052683&sid=search
8,Reel Arena 4000 RD 1 Rol 5.0:1,Reel,15000,30000,https://www.mercadolibre.com.ar/reel-frontal-marine-sports-arena-red-4000-fd-1r-501/up/MLAU3758197261#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=ce9363d4-556b-4d05-8ab9-fd769f981fa2&wid=MLA2819138966&sid=search
9,Reel Tuson 3000,Reel,22000,34000,Catalogo Fishin Shop
10,"Caña Telescópica Joker 1,80m",Cañas,3600,5000,
